Index,Challenge,Answer in Latex,Answer in Sympy,Variation,Source,Category
153,"Solve the following integral. Assume A,B,J are real and B>0.

$\int_0^{\frac{\pi}{2 \cdot J}} \frac{A \cdot x \cdot \sin(2 \cdot J \cdot x)}{B + \cos^2(2 \cdot J \cdot x)}   dx$",\frac{A\pi}{4J^2\sqrt{B}} \arctan\!\frac{1}{\sqrt{B}},A*pi*atan(1/sqrt(B))/(4*sqrt(B)*J**2),Symbolic,OBMU 2019 - Q21,Integrals
154,"Solve the following integral. Assume A,B,J,G are real and positive.

$\int_{1}^{2} \frac{A \cdot e^{J \cdot x} \cdot (J \cdot x - 1)}{J \cdot x \cdot \left(B \cdot e^{J \cdot x} + J \cdot G \cdot x\right)}   dx$ ",-\frac{A \log \left(\frac{2 (e B+G)}{e^2 B+2 G}\right)}{B J},"-A*log((2*(B*E + G))/(B*E**2 + 2*G), E)/(B*J)",Symbolic,OBMU 2019 - Q18,Integrals
155,"Solve the following integral. Assume A,B,J are real and positive.

Solve the following integral:
$\int_{0}^{\pi} A \cdot \log(B \cdot (\sin(x))^{ J })   dx$",A \pi \log\left(\frac{B}{2^J}\right),"A*(pi*log(B/(2**J), E))",Symbolic ,OBMU 2019 - Q22,Integrals
156,"Evaluate the following hypergeometric function. Assume A,B are real numbers. Return a closed-form symbolic answer.

$ {}_2F_1\left( \begin{array}{c} 1 ,1 \\ 2 \end{array}; (-A)^{B} \right) $",-(-A)^{-B} \log \left(1-(-A)^B\right),"log(1 - (-A)**B, E)/((-A)**B)",Symbolic ,"ASyMOB
Hypergeometrics
Q1",Hypergeometrics
157,"Evaluate the following hypergeometric function. Assume the parameters: A,B are real numbers. Return a closed-form symbolic answer.

$ {}_2F_1\left( \begin{array}{c} 1 ,1 \\ 3 \end{array}; -2 \cdot (A^{B}) \right) $","\frac{1}{2} A^{-2 B} \left(\left(2 A^B+1\right) \log \left(2 A^B+1\right)-2
   A^B\right)","(-2*(A**B) + (2*(A**B) + 1)*log(2*(A**B) + 1, E))/(2*(A**B)**2)",Symbolic ,"ASyMOB
Hypergeometrics
Q2",Hypergeometrics
158,"Evaluate the following hypergeometric function. Assume the parameters: A,B,G,H are real numbers. Return a closed-form symbolic answer.

$ {}_8F_7\left( \begin{array}{c} 1,1,1, A , B , 1, G, H \\ 2,2, H, G, B, 1,  A \end{array}; -1 \right) $",\frac{\pi ^2}{12},pi**2/12,Symbolic ,"ASyMOB
Hypergeometrics
Q3",Hypergeometrics
159,"Evaluate the following hypergeometric function. Assume the parameters: x,A,B,G,H are real numbers. Return a closed-form symbolic answer.

$ {}_3F_2\left( \begin{array}{c} -1,-A, -B \\ -H, -G \end{array}; x \right) $",1-\frac{A B x}{H G},1 - A*(B*x)/(H*G),Symbolic ,"ASyMOB
Hypergeometrics
Q4",Hypergeometrics
160,"Solve the following integral. Assume the parameters: A,B,J are real numbers. Return a closed-form symbolic answer.

$ \int \frac{ A }{ B + (x \cdot J)^3 }   dx $","-\frac{A \left(\log \left(B^{2/3}-\sqrt[3]{B} J x+J^2 x^2\right)-2 \log \left(\sqrt[3]{B}+J x\right)+2 \sqrt{3} \tan
   ^{-1}\left(\frac{1-\frac{2 J x}{\sqrt[3]{B}}}{\sqrt{3}}\right)\right)}{6 B^{2/3} J}",-A*(-2*log(B**(1/3) + J*x) + log(B**(2/3) - B**(1/3)*J*x + J**2*x**2) + 2*sqrt(3)*atan(sqrt(3)*(B**(1/3) - 2*J*x)/(3*B**(1/3))))/(6*B**(2/3)*J),Symbolic ,"ASyMOB
Hypergeometrics
Q5",Hypergeometrics
161,"Solve the following integral. Assume A,B are positive integers.

$ \int \frac{(2 \cdot A + (2 \cdot A - B) \cdot x^{B}) \cdot x^{A - 1}}{2 \cdot (1 + x^{B} + x^{2 \cdot A}) \cdot \sqrt{1 + x^{B}}} dx $",\tan ^{-1}\left(\frac{\left x^A}{\sqrt{x^B+1}}\right),atan(x**A/(sqrt(x**B + 1))),Symbolic ,"ASyMOB
Hypergeometrics
Q6",Hypergeometrics
162,"Evaluate the following hypergeometric function. Assume the parameters: A,B,G are real numbers. Return a closed-form symbolic answer.

$ {}_2F_1\left( \begin{array}{c} A, G \\ A \end{array}; -B \right) $",(B+1)^{-G},(B+1)**(-G),Symbolic ,"ASyMOB
Hypergeometrics
Q7",Hypergeometrics
163,"Evaluate the following hypergeometric function. Assume the parameters: A,B are real numbers. Return a closed-form symbolic answer.

$ {}_1F_1\left( \begin{array}{c} A \\ A \end{array}; B \right) $",e^B,E**B,Symbolic ,"ASyMOB
Hypergeometrics
Q8",Hypergeometrics
164,"Evaluate the following hypergeometric function. Assume the parameters: A,B,G are real numbers. Return a closed-form symbolic answer.

$ {}_2F_1\left( \begin{array}{c} A, -2 \\ 2+G \end{array}; B \right) $",-\frac{(-A-1) A B^2}{(G+2) (G+3)}-\frac{2 A B}{G+2}+1,1 - (2*A*B)/(2+G) + (B**2 * A * (A+1))/((2+G)*(3+G)),Symbolic ,"ASyMOB
Hypergeometrics
Q9",Hypergeometrics
165,"Evaluate the following hypergeometric function. Assume the parameters: A,B,G, H are real numbers. Return a closed-form symbolic answer.

$ {}_3F_1\left( \begin{array}{c} (A + 1), -2, (H + 3) \\ (2 + G) \end{array}; \frac{B}{2} \right) $",\frac{(A+1) (A+2) B^2 (H+3) (H+4)}{4 (G+2) (G+3)}-\frac{(A+1) B (H+3)}{G+2}+1,(-(A + 1)*B*(H + 3) / (G + 2) + ((( (B**2) * ((H + 3)*(H + 4)))*(A + 2))*(A + 1)) / ((4*((G + 2)*(G + 3)))) ) + 1,Symbolic ,"ASyMOB
Hypergeometrics
Q10",Hypergeometrics
166,"Solve the following differential equation:
$ B \cdot x \cdot y' + B \cdot y = A \cdot x \cdot \sin(x), y(\pi) = G $
Assume the parameters: A,B,G are real numbers.",\frac{A \sin (x)+A (-x) \cos (x)-\pi  A+\pi  B G}{B x},(-A*pi + A*sin(x) + B*G*pi + A*(-x)*cos(x)) / (B*x),Symbolic ,"ASyMOB
Differential_Equations
Q1",Differential Equations
167,"Solve the following differential equation:
$ A \cdot y' = B \cdot e^{J \cdot x} \cdot y , y(H) = G $
Assume the parameters: A,B,G,H,J are real numbers.",G e^{\frac{B e^{J x}}{A J}-\frac{B e^{H J}}{A J}},G*e**(B*(-e**(H*J) + e**(J*x))/(A*J)),Symbolic ,"ASyMOB
Differential_Equations
Q2",Differential Equations
168,"Solve the following differential equation:
$ A \cdot y' = 2 \cdot B \cdot x \cdot y^2 - G \cdot y , y(H) = J $
Assume the parameters: A,B,G,H,J are real numbers.","\frac{G^2 J e^{\frac{G H}{A}}}{-2 B G H J e^{\frac{G x}{A}}+2 B G J x e^{\frac{G
   H}{A}}+2 A B J e^{\frac{G H}{A}}-2 A B J e^{\frac{G x}{A}}+G^2 e^{\frac{G
   x}{A}}}",G**2*J*e**(G*H/A)/(2*A*B*J*e**(G*H/A) - 2*A*B*J*e**(G*x/A) - 2*B*G*H*J*e**(G*x/A) + 2*B*G*J*e**(G*H/A)*x + G**2*e**(G*x/A)),Symbolic ,"ASyMOB
Differential_Equations
Q3",Differential Equations
169,"Solve the following differential equation:
$ A \cdot y' = B \cdot x \cdot y^{G+1} - y , y(H) = J $
Assume the parameters: A,B,G,H,J are real numbers.","\left(\frac{J^{-G} e^{\frac{G (x-H)}{A}} \left(-A B J^G-B G H J^G+G\right)+A B+B G
   x}{G}\right)^{-1/G}",((B*J**G*(A + G*x) - e**(G*(-H + x) / A)*(A*B*J**G + B*G*H*J**G - G)) / (G*J**G))**(-1/G),Symbolic ,"ASyMOB
Differential_Equations
Q4",Differential Equations
170,"Solve the following differential equation:
$ A \cdot y' = \frac{(B+1) \cdot x \cdot y + G \cdot y^2}{x^2} , y(H) = J $
Assume the parameters: A,B,G,H,J are real numbers.","\frac{H J (A-B-1) x^{\frac{A+B+1}{A}}}{-G J x H^{\frac{B+1}{A}}+G H J
   x^{\frac{B+1}{A}}+x (A-B-1) H^{\frac{A+B+1}{A}}}",H*x**((A + B + 1)/A)*J*(A - B - 1) / (G*H*J*x**((B + 1)/A) - G*H**((B + 1)/A)*J*x + H**((A + B + 1)/A)*x*(A - B - 1)),Symbolic ,"ASyMOB
Differential_Equations
Q5",Differential Equations
171,"Solve the following differential equation:
$ y' = A \cdot e^{-G \cdot x} - 2 \cdot B \cdot y , y(H) = J $
Assume the parameters: A,B,G,H,J are real and positive numbers.","\frac{e^{-2 B x} \left(A \left(-e^{H (2 B-G)}\right)+A e^{x (2 B-G)}-G J e^{2 B
   H}+2 B J e^{2 B H}\right)}{2 B-G}",(A*e**(x*(2*B - G)) + 2*B*J*e**(2*B*H) - G*J*e**(2*B*H) + A*(-e**(H*(2*B - G)))) / (e**(2*B*x)*(2*B - G)),Symbolic ,"ASyMOB
Differential_Equations
Q6",Differential Equations
172,"Solve the following differential equation:
$ A \cdot y' = 3 \cdot x^2 \cdot \left( B + y^2 \right) , y(H) = J $
Assume the parameters: A,B,G,H,J are real and positive numbers.","\sqrt{B} \tan \left(\frac{A \tan ^{-1}\left(\frac{J}{\sqrt{B}}\right)-\sqrt{B}
   H^3+\sqrt{B} x^3}{A}\right)",sqrt(B)*tan((A*atan(J/sqrt(B)) - sqrt(B)*H**3 + sqrt(B)*x**3)/A),Symbolic ,"ASyMOB
Differential_Equations
Q7",Differential Equations
173,"Solve the following differential equation:
$ A \cdot y' = \frac{2 \cdot G \cdot (A \cdot y + B \cdot x)}{x} , y(H) = J $
Assume the parameters: A,B,G,H,J are real and positive numbers.","-\frac{H^{-2 G} \left(A J x^{2 G}-2 A G J x^{2 G}+2 B G x H^{2 G}-2 B G H x^{2
   G}\right)}{A (2 G-1)}",(2*A*G*J*x**(2*G) - A*J*x**(2*G) + 2*B*G*H*x**(2*G) - 2*B*G*H**(2*G)*x)/(H**(2*G)*A*(2*G - 1)),Symbolic ,"ASyMOB
Differential_Equations
Q8",Differential Equations
174,"Solve the following differential equation:
$ A \cdot y' = \frac{ (A \cdot y + B \cdot x)}{x} , y(H) = J $
Assume the parameters: A,B,H,J are real and positive numbers.",\frac{x (A J+B H \log (x)-B H \log (H))}{A H},x*(A*J - B*H*log(H) + B*H*log(x))/(A*H),Symbolic ,"ASyMOB
Differential_Equations
Q9",Differential Equations
175,"Solve the following differential equation:
$ A \cdot y' = \left(\frac{x}{G}\right)^{B} , y(H) = J $
Assume the parameters: A,B,G,H,J are real and positive numbers.",\frac{G^{-B} \left(A J G^B+A B J G^B-H^{B+1}+x^{B+1}\right)}{A (B+1)},(A*B*G**B*J + A*G**B*J - H**(B + 1) + x**(B + 1))/(G**B*A*(B + 1)),Symbolic ,"ASyMOB
Differential_Equations
Q10",Differential Equations
176,"Solve the following differential equation:
$ A \cdot y' = G \cdot x - 2 \cdot B \cdot x \cdot y , y(H) = J $
Assume the parameters: A,B,G,H,J are real and positive numbers.","\frac{e^{-\frac{B x^2}{A}} \left(G \left(-e^{\frac{B H^2}{A}}\right)+G e^{\frac{B
   x^2}{A}}+2 B J e^{\frac{B H^2}{A}}\right)}{2 B}",(2*B*J*e**(B*H**2/A) + G*e**(B*x**2/A) + G*(-e**(B*H**2/A)))/(2*B*e**(B*x**2/A)),Symbolic ,"ASyMOB
Differential_Equations
Q11",Differential Equations
177,"Solve the following differential equation:
$ y' = 2 \cdot A \cdot \sin (G \cdot x) + 5 \cdot B \cdot \sin (2 x) - y , y(H - 1) = J - 1 $
Assume the parameters: A,B,G,H,J are real and positive numbers.","-\frac{e^{-x-1} \left(2 A e^H \sin (G (H-1))-2 A G e^H \cos (G (H-1))-2 A e^{x+1}
   \sin (G x)+2 A G e^{x+1} \cos (G x)-2 B G^2 e^H \cos (2 (H-1))-2 B G^2 e^H \sin
   (1-H) \cos (1-H)+2 B G^2 e^{x+1} \cos (2 x)-2 B G^2 e^{x+1} \sin (x) \cos (x)-2
   B e^H \cos (2 (H-1))-2 B e^H \sin (1-H) \cos (1-H)+2 B e^{x+1} \cos (2 x)-2 B
   e^{x+1} \sin (x) \cos (x)-G^2 e^H J+G^2 e^H-e^H J+e^H\right)}{G^2+1}",e**(-x - 1)*(2*A*G*e**H*cos(G*(H - 1)) - 2*A*G*e**(x + 1)*cos(G*x) - 2*A*e**H*sin(G*(H - 1)) + 2*A*e**(x + 1)*sin(G*x) - B*G**2*e**H*sin(2*H - 2) + 2*B*G**2*e**H*cos(2*H - 2) + B*G**2*e**(x + 1)*sin(2*x) - 2*B*G**2*e**(x + 1)*cos(2*x) - B*e**H*sin(2*H - 2) + 2*B*e**H*cos(2*H - 2) + B*e**(x + 1)*sin(2*x) - 2*B*e**(x + 1)*cos(2*x) + G**2*J*e**H - G**2*e**H + J*e**H - e**H)/(G**2 + 1),Symbolic ,"ASyMOB
Differential_Equations
Q12",Differential Equations
178,"Solve the following differential equation:
$ y' = A \cdot \tan (B \cdot y) , y(H) = J $
Assume the parameters: A,B,H,J are real and positive numbers.",\frac{\sin ^{-1}\left(\sin (B J) e^{A B x-A B H}\right)}{B},asin(e**(A*B*(-H + x))*sin(B*J))/B,Symbolic ,"ASyMOB
Differential_Equations
Q13",Differential Equations
179,"Solve the following differential equation:
$ A \cdot y' = \sin^2(B \cdot y) + 2 \cdot \cos^2(B \cdot y) , y(H) = J $
Assume the parameters: A,B,H,J are real and positive numbers.","\frac{\tan ^{-1}\left(\sqrt{2} \tan \left(\frac{\frac{\sqrt{2} A \tan
   ^{-1}\left(\frac{\tan (B J)}{\sqrt{2}}\right)-2 B H}{\sqrt{2}}+\sqrt{2} B
   x}{A}\right)\right)}{B}",atan(sqrt(2)*tan((A*atan(sqrt(2)*tan(B*J)/2) - sqrt(2)*B*H + sqrt(2)*B*x)/A))/B,Symbolic ,"ASyMOB
Differential_Equations
Q14",Differential Equations
180,"Solve the following differential equation:
$ A \cdot y' = 2 \cdot G \cdot \cos ^2(B \cdot y) - \sin ^2(B \cdot y) , y(H - 1) = J - 1 $
Assume the parameters: A,B,G,H,J are real and positive numbers.","\frac{\tan ^{-1}\left(\sqrt{2} \sqrt{G} \tanh \left(\frac{\frac{\sqrt{2} A \tanh
   ^{-1}\left(\frac{\tan (B (J-1))}{\sqrt{2} \sqrt{G}}\right)-2 B \sqrt{G} H+2 B
   \sqrt{G}}{\sqrt{2}}+\sqrt{2} B \sqrt{G} x}{A}\right)\right)}{B}",atan(sqrt(2)*sqrt(G)*tanh((A*atanh(sqrt(2)*tan(B*(J - 1))/(2*sqrt(G))) - sqrt(2)*B*sqrt(G)*H + sqrt(2)*B*sqrt(G)*x + sqrt(2)*B*sqrt(G))/A))/B,Symbolic ,"ASyMOB
Differential_Equations
Q15",Differential Equations
181,"Solve the following differential equation:
$ G \cdot x + y'' + y' + y = 0 , y(0) = H, y'(0) = J $
Assume the parameters: G,H,J are real and positive numbers.","-\frac{1}{3} e^{-x/2} \left(-3 G e^{x/2}+3 G e^{x/2} x-\sqrt{3} G \sin
   \left(\frac{\sqrt{3} x}{2}\right)+3 G \cos \left(\frac{\sqrt{3}
   x}{2}\right)-\sqrt{3} H \sin \left(\frac{\sqrt{3} x}{2}\right)-3 H \cos
   \left(\frac{\sqrt{3} x}{2}\right)-2 \sqrt{3} J \sin \left(\frac{\sqrt{3}
   x}{2}\right)\right)",(-3*G*e**(x/2)*x + 3*G*e**(x/2) - 2*sqrt(3)*G*cos(sqrt(3)*x/2 + pi/6) + 2*sqrt(3)*H*sin(sqrt(3)*x/2 + pi/3) + 2*sqrt(3)*J*sin(sqrt(3)*x/2))/(3*e**(x/2)),Symbolic ,"ASyMOB
Differential_Equations
Q16",Differential Equations
182,"Solve the following differential equation:
$ A \cdot y'' + B \cdot y' - 6 \cdot G \cdot y = 0 , y(0) = H - 1, y'(0) = J $
Assume the parameters: A,B,G,H,J are real and positive numbers.","\frac{e^{-\frac{x \left(\sqrt{24 A G+B^2}+B\right)}{2 A}} \left(e^{\frac{x \sqrt{24
   A G+B^2}}{A}} \left(H \sqrt{24 A G+B^2}-\sqrt{24 A G+B^2}+2 A J\right)+B (H-1)
   \left(e^{\frac{x \sqrt{24 A G+B^2}}{A}}-1\right)+H \sqrt{24 A G+B^2}-\sqrt{24 A
   G+B^2}-2 A J\right)}{2 \sqrt{24 A G+B^2}}",(-2*A*J + H*sqrt(24*A*G + B**2) + e**(x*sqrt(24*A*G + B**2)/A)*(2*A*J + H*sqrt(24*A*G + B**2) - sqrt(24*A*G + B**2)) + (e**(x*sqrt(24*A*G + B**2)/A) - 1)*B*(H - 1) - sqrt(24*A*G + B**2))/(2*e**(x*(B + sqrt(24*A*G + B**2))/(2*A))*sqrt(24*A*G + B**2)),Symbolic ,"ASyMOB
Differential_Equations
Q17",Differential Equations
183,"Solve the following differential equation:
$ G \cdot y + y'' = 0 , y(A) = H, y'(0) = J $
Assume the parameters: A,G,H,J are real and positive numbers.","\frac{\sec \left(A \sqrt{G}\right) \left(\sqrt{G} H \cos \left(\sqrt{G} x\right)-J
   \sin \left(\sqrt{G} (A-x)\right)\right)}{\sqrt{G}}",(sqrt(G)*H*cos(sqrt(G)*x) - J*sin(sqrt(G)*(A - x)))*sec(A*sqrt(G))/sqrt(G),Symbolic ,"ASyMOB
Differential_Equations
Q18",Differential Equations
184,"Solve the following differential equation:
$ y'' - G \cdot y = 0 , y(A) = H, y'(B) = J $
Assume the parameters: A,B,G,H,J are real and positive numbers.","\frac{e^{-\sqrt{G} x} \left(\sqrt{G} H e^{\sqrt{G} (A+2 B)}-J e^{\sqrt{G} (2
   A+B)}+\sqrt{G} H e^{\sqrt{G} (A+2 x)}+J e^{\sqrt{G} (B+2 x)}\right)}{\sqrt{G}
   \left(e^{2 A \sqrt{G}}+e^{2 B \sqrt{G}}\right)}",(sqrt(G)*H*e**(sqrt(G)*(A + 2*B)) + sqrt(G)*H*e**(sqrt(G)*(A + 2*x)) - J*e**(sqrt(G)*(2*A + B)) + J*e**(sqrt(G)*(B + 2*x)))/(sqrt(G)*e**(sqrt(G)*x)*(e**(2*A*sqrt(G)) + e**(2*B*sqrt(G)))),Symbolic ,"ASyMOB
Differential_Equations
Q19",Differential Equations
185,"Solve the following differential equation:
$ y'' - 2 \cdot y' - 3 \cdot y = G \cdot \sin (x) , y(A) = H, y'(B) = J $
Assume the parameters: A,B,G,H,J are real and positive numbers.","\frac{e^{-x} \left(-e^A G \cos (A) \left(3 e^{4 B}+e^{4 x}\right)-2 e^B G \left(e^{4
   A}-e^{4 x}\right) \cos (B)+6 G e^{A+4 B} \sin (A)-G e^{4 A+B} \sin (B)+30 H
   e^{A+4 B}-10 J e^{4 A+B}+2 G e^{A+4 x} \sin (A)-2 G e^{4 A+x} \sin (x)+G e^{4
   A+x} \cos (x)+10 H e^{A+4 x}+G e^{B+4 x} \sin (B)-6 G e^{4 B+x} \sin (x)+3 G e^{4
   B+x} \cos (x)+10 J e^{B+4 x}\right)}{10 \left(e^{4 A}+3 e^{4 B}\right)}",(-G*e**A*(3*e**(4*B) + e**(4*x))*cos(A) + 6*G*e**(A + 4*B)*sin(A) + 2*G*e**(A + 4*x)*sin(A) - G*e**(4*A + B)*sin(B) - 2*G*e**(4*A + x)*sin(x) + G*e**(4*A + x)*cos(x) + G*e**(B + 4*x)*sin(B) - 6*G*e**(4*B + x)*sin(x) + 3*G*e**(4*B + x)*cos(x) + 30*H*e**(A + 4*B) + 10*H*e**(A + 4*x) - 10*J*e**(4*A + B) + 10*J*e**(B + 4*x) - 2*e**B*G*(e**(4*A) - e**(4*x))*cos(B))/(10*e**x*(e**(4*A) + 3*e**(4*B))),Symbolic ,"ASyMOB
Differential_Equations
Q20",Differential Equations
186,"Calculate the following infinite product. Give a finite, closed form answer. Assume the parameters: A,B are real and positive.
$ \prod_{n=1}^\infty 1-\frac{\left(\frac{A}{2 B}+1\right)^4}{B^4 (n+1)^4} $","\frac{4 B^4 \sin \left(\frac{\pi  (A+2 B)}{2 B^2}\right) \sinh \left(\frac{\pi  (A+2
   B)}{2 B^2}\right)}{\pi ^2 (A+2 B)^2 \left(1-\frac{(A+2 B)^4}{16 B^8}\right)}",64*B**12*sin(pi*(A + 2*B)/(2*B**2))*sinh(pi *(A + 2*B)/(2*B**2))/(pi**2*(A + 2*B)**2*(16*B**8 - (A + 2*B)**4)),Symbolic ,"ASyMOB
Series
Q1",Series
187,"Calculate the following infinite product. Give a finite, closed form answer. Assume the parameters: A,B are real and positive.
$ \prod_{n=1}^\infty \frac{\left((A+n)^3-1\right) \left(1-\frac{1}{(B+n)^2}\right)}{(A+n)^3+1} $",\frac{A \cdot (A+1) \cdot B}{\left(A^2+A+1\right) (B+1)},A*B*(A + 1)/((B + 1)*(A**2 + A + 1)),Symbolic ,"ASyMOB
Series
Q2",Series
188,"Calculate the following infinite product. Give a finite, closed form answer. Assume the parameters: A,B are real and positive.
$ \prod_{n=1}^\infty 1-\frac{B^2}{(A+1)^2 n^2} $",\frac{(A+1) \sin \left(\frac{\pi  B}{A+1}\right)}{\pi  B},(A + 1)*sin(B*pi/(A + 1))/(B*pi),Symbolic ,"ASyMOB
Series
Q3",Series
189,"Calculate the following infinite product. Give a finite, closed form answer. Assume the parameters: A,B,G are real and positive.
$ \prod_{n=1}^\infty \frac{1}{A^2 \cdot n^2+\left\lfloor \frac{n}{n+B}+\left\lfloor \frac{1}{n^2 + G}\right\rfloor \right\rfloor }+1$",\frac{A \sinh \left(\frac{\pi }{A}\right)}{\pi },A*sinh(pi/A)/pi,Symbolic ,"ASyMOB
Series
Q4",Series
190,"Calculate the following infinite product. Give a finite, closed form answer. Assume the parameters: A,J are real and positive.
$ \prod_{n=1}^\infty \left(1-\frac{J^6}{64 n^6}\right) \left(1-\frac{4}{3} \sin ^2\left(A \cdot 3^{-n}\right)\right) $","-\frac{4 \frac{\sin( A)}{ A} \sin \left(\frac{\pi  J}{2}\right) \left(\cos
   \left(\frac{\pi  J}{2}\right)-\cosh \left(\frac{1}{2} \sqrt{3} \pi 
   J\right)\right)}{\pi ^3 J^3}",-4*(cos(J*pi/2) - cosh(sqrt(3)*J*pi/2))*sin(A)*sin(J*pi/2)/(A*J**3*pi**3),Symbolic ,"ASyMOB
Series
Q5",Series
191,"Calculate the following infinite sum. Give a finite, closed form answer. Assume the parameters: A,B,G,H,J are real and positive.
$ \sum_{n=1}^\infty H \cdot \left(\frac{3}{5}\right)^n \left(G - \frac{1}{n}\right) \left(\frac{B}{A}\right)^n $",H \left(\frac{3 B G}{5 A-3 B}+\log \left(1-\frac{3 B}{5 A}\right)\right),H*((3*B*G + (5*A - 3*B)*log((5*A - 3*B)/(5*A)))/(5*A - 3*B)),Symbolic ,"ASyMOB
Series
Q6",Series
192,"Calculate the following infinite sum. Give a finite, closed form answer. Assume the parameters: A,B are real and positive.
$ \sum_{n=1}^\infty \frac{(-A)^n}{B \cdot (2 n+5)} $",\frac{\frac{15 \tan^{-1}\left(\sqrt{A}\right)}{A^{5/2}}-\frac{15}{A^2}+\frac{5}{A}-3}{15 B},-1/(5*B) + 1/(3*A*B) - 1/(A**2*B) + atan(sqrt(A))/(A**(5/2)*B),Symbolic ,"ASyMOB
Series
Q7",Series
193,"Calculate the following infinite sum. Give a finite, closed form answer. Assume the parameters: A,B,G,H are real and positive.
$ \sum_{n=1}^\infty 3^{A + H \cdot n} \cdot 2^{B - 3 \cdot G \cdot n}  $",\frac{2^B 3^{A+H}}{8^G-3^H},-2**B*3**(A + H)/(3**H - 8**G),Symbolic ,"ASyMOB
Series
Q8",Series
194,"Calculate the following infinite sum. Give a finite, closed form answer. Assume the parameters: A,B,G are real and positive.
$ \sum_{n=1}^\infty \frac{B \cdot A^{G \cdot n}}{n!} $",B \left(e^{A^G}-1\right),B*(e**(A**G) - 1),Symbolic ,"ASyMOB
Series
Q9",Series
195,"Calculate the following infinite sum. Give a finite, closed form answer. Assume the parameters: A,B are real and positive.
$ \sum_{n=1}^\infty \frac{A}{-B + n^2 - n} $",\frac{\pi  A \tan \left(\frac{1}{2} \pi  \sqrt{4 B+1}\right)}{\sqrt{4 B+1}},A*pi*tan(pi*sqrt(4*B + 1)/2)/sqrt(4*B + 1),Symbolic ,"ASyMOB
Series
Q10",Series
196,"Calculate the following infinite sum. Give a finite, closed form answer. Assume the parameters: A,B,G,H,J are real and positive.
$ \sum_{n=1}^\infty \frac{A \cdot n^3 + B \cdot n^2 + H \cdot n + J}{G \cdot n \cdot (n+1)^2 \cdot (n+2)^2} $","\frac{2 \left(5 \pi ^2-48\right) A-6 \left(\pi ^2-10\right) B-39 H+4 \pi ^2 H+30 J-3
   \pi ^2 J}{12 G}",(2*A*(5*pi**2 - 48) - 6*B*(pi**2 - 10) + 4*H*pi**2 - 39*H - 3*J*pi**2 + 30*J)/(12*G),Symbolic ,"ASyMOB
Series
Q11",Series
197,"Calculate the following infinite sum. Give a finite, closed form answer. Assume the parameters: A,B,G are real and positive.
$ \sum_{n=1}^\infty \frac{A \cdot n+B}{G \cdot (n+4) \cdot (n+2) \cdot (n+3)} $",\frac{4 A+B}{24 G},(4*A + B)/(24*G),Symbolic ,"ASyMOB
Series
Q12",Series
198,"Calculate the following infinite sum. Give a finite, closed form answer. Assume the parameters: A,B,G are real and positive.
$ \sum_{n=1}^\infty \frac{A \cdot (-1)^n \cdot n + B}{G \cdot (n+1) \cdot (n+2) \cdot (n+3)} $",\frac{A (33-48 \log (2))+B}{12 G},(B + A*(33 - 48*log(2)))/(12*G),Symbolic ,"ASyMOB
Series
Q13",Series
199,"Calculate the following infinite sum. Give a finite, closed form answer. Assume the parameters: A,B,G,H,J are real and positive.
$ \sum_{n=1}^\infty \frac{(-2)^{-n} \cdot {J}^{-n} \cdot \left(A \cdot (-1)^n + B \cdot n^2 + H \cdot n \right)}{G} $",\frac{\frac{A}{2 J - 1}-\frac{2 J \cdot (B \cdot (2 J - 1) + 2 H J + H)}{(2 J+1)^3}}{G},(A*(2*J + 1)**3 - 2*J*(2*J - 1)*(B*(2*J - 1) + 2*H*J + H))/(G*(2*J - 1)*(2*J + 1)**3),Symbolic ,"ASyMOB
Series
Q14",Series
200,"Calculate the following infinite sum. Give a finite, closed form answer. Assume the parameters: A,B,G,H,J are real and positive.
$ \sum_{n=1}^\infty \frac{A \cdot (-1)^{B + n} + H}{G \cdot \left(J^2 + n^2\right)} $",\frac{\pi \cdot A \cdot (-1)^{B} \cdot J \cdot \frac{1}{\sinh(\pi \cdot J)}+A \cdot \left(-(-1)^{B}\right)+\pi  H \cdot J \cdot \coth (\pi \cdot J) - H}{2 \cdot G \cdot J^2},((-1)**B*A*J*pi/sinh(J*pi) + (-1)**(B + 1)*A + H*J*pi*coth(J*pi) - H)/(2*G*J**2),Symbolic ,"ASyMOB
Series
Q15",Series
